index,nombre,precio,precioanterior,preciounico,plazo,quincenas_24,marca,sku,href,nombrepromocion,categoria,fechadeconsulta
893,Sobre de Fiesta Nueva Imagen Shantal para Dama color Rosa Shantung Sintético,0.0,0.0,293.0,24,105.0,Nueva Imagen,3540342,https://www.coppel.com/vestido-meirius-de-fiesta-pr-3540342,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
897,Vestido Minuet de Fiesta,0.0,0.0,2199.0,24,91.0,MINUET,8758483,https://www.coppel.com/arracadas-de-oro-10k-la-estrella-pm-8758483,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
901,Vestido Minuet de Noche,0.0,0.0,2139.0,24,91.0,MINUET,8758483,https://www.coppel.com/arracadas-de-oro-10k-la-estrella-pm-8758483,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
905,Vestido Minuet de Fiesta,0.0,0.0,2359.0,24,91.0,MINUET,8758483,https://www.coppel.com/arracadas-de-oro-10k-la-estrella-pm-8758483,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
909,Vestido Minuet de Noche,0.0,0.0,2359.0,24,91.0,MINUET,8758483,https://www.coppel.com/arracadas-de-oro-10k-la-estrella-pm-8758483,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
913,Vestido Minuet de Noche,0.0,0.0,2279.0,24,91.0,MINUET,8758483,https://www.coppel.com/arracadas-de-oro-10k-la-estrella-pm-8758483,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
917,Pulsera de Oro de 10K Sentimientos,2589.0,2699.0,0.0,24,26.0,SENTIMIENT,8364702,https://www.coppel.com/zapato-de-vestir-wall-street-para-hombre-pr-8364702,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
921,Camisa Casual Wall Street Classic Fit Lisa,0.0,0.0,349.0,24,26.0,WALL STREET,8364702,https://www.coppel.com/zapato-de-vestir-wall-street-para-hombre-pr-8364702,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
925,Zapatos de Vestir Wall Street para Hombre,0.0,0.0,549.0,24,26.0,WALL STREET,8364702,https://www.coppel.com/zapato-de-vestir-wall-street-para-hombre-pr-8364702,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
929,Vestido Meirius de Fiesta,0.0,0.0,1199.0,24,26.0,MEIRIUS,8364702,https://www.coppel.com/zapato-de-vestir-wall-street-para-hombre-pr-8364702,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
933,Zapatillas Frida Kolection para Mujer,0.0,0.0,499.0,24,26.0,FRIDA KOLLECTION,8364702,https://www.coppel.com/zapato-de-vestir-wall-street-para-hombre-pr-8364702,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
937,Broqueles de Oro 14K con Diamante,1769.0,1969.0,0.0,24,91.0,ROMANZA,8712313,https://www.coppel.com/broqueles-de-oro-14k-con-diamante-pm-8712313,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
941,Corbata de Rayas Wallstreet Azul,0.0,0.0,99.0,24,20.0,WALL STREET,1183182,https://www.coppel.com/pantalon-de-vestir-wall-street-pr-1183182,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
945,Bolsa Clutch Sahara,0.0,0.0,299.0,24,20.0,SAHARA,1183182,https://www.coppel.com/pantalon-de-vestir-wall-street-pr-1183182,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
949,Vestido Sahara de Fiesta,0.0,0.0,699.0,24,91.0,SAHARA,8711513,https://www.coppel.com/broqueles-de-oro-14k-con-diamante-pm-8711513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
953,Broqueles de Oro 14K con Diamante,1799.0,2249.0,0.0,24,20.0,ROMANZA,1183182,https://www.coppel.com/pantalon-de-vestir-wall-street-pr-1183182,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
957,Bolsa Cluth Sahara,0.0,0.0,319.0,24,20.0,SAHARA,1183182,https://www.coppel.com/pantalon-de-vestir-wall-street-pr-1183182,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
961,Vestido Sahara de Fiesta,0.0,0.0,799.0,24,91.0,SAHARA,8711513,https://www.coppel.com/broqueles-de-oro-14k-con-diamante-pm-8711513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
965,Camisa de Vestir Wall Street Manga Larga Cuello Americano,0.0,0.0,369.0,24,29.0,WALL STREET,8388512,https://www.coppel.com/sandalias-de-tacon-sahara-para-mujer-pr-8388512,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
969,Pantalón de Vestir Wall Street,0.0,0.0,219.0,24,29.0,WALL STREET,8388512,https://www.coppel.com/sandalias-de-tacon-sahara-para-mujer-pr-8388512,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
973,Bolsa Clutch Thinner,0.0,0.0,259.0,24,29.0,THINNER,8388512,https://www.coppel.com/sandalias-de-tacon-sahara-para-mujer-pr-8388512,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
977,Arracadas de Oro 10K Sentimientos,2059.0,2099.0,0.0,24,4.0,SENTIMIENT,1381102,https://www.coppel.com/corbata-con-miniprint-wall-street-azul-marino-pr-1381102,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
981,Cadena de Oro 10K Villa,1979.0,1999.0,0.0,24,4.0,VILLA,1381102,https://www.coppel.com/corbata-con-miniprint-wall-street-azul-marino-pr-1381102,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
985,Vestido Nina Ferré de Fiesta,0.0,0.0,799.0,24,4.0,NINA FERRE,1381102,https://www.coppel.com/corbata-con-miniprint-wall-street-azul-marino-pr-1381102,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
